Cache Initialized. size: 512MB
alloc failed. 9965538,0,192,14289
alloc failed. 9965706,0,192,14290
alloc failed. 9965706,0,192,14291
alloc failed. 9965706,0,192,14292
alloc failed. 9965706,0,192,14293
alloc failed. 9965706,0,192,14305
alloc failed. 9965706,0,192,14306
alloc failed. 9965706,0,192,14310
alloc failed. 9965706,0,192,14312
alloc failed. 9965706,0,192,14313
alloc failed. 9965706,0,192,14317
alloc failed. 9965706,0,192,14319
alloc failed. 9965706,0,192,14329
alloc failed. 9965706,0,192,14330
alloc failed. 9965706,0,192,14334
alloc failed. 9965706,0,192,14336
alloc failed. 9965706,0,192,14337
alloc failed. 9965706,0,192,14341
alloc failed. 9965706,0,192,14343
alloc failed. 9965708,0,192,14344
alloc failed. 9965708,0,192,14345
alloc failed. 9965708,0,192,14346
alloc failed. 9965708,0,192,14347
alloc failed. 9965708,0,192,14348
alloc failed. 9965708,0,192,14349
hit ratio:0.37498,time:55085
hit ratio:0.188765,time:55657
hit ratio:0.126507,time:56598
hit ratio:0.10444,time:57427
hit ratio:0.157066,time:124677
hit ratio:0.159392,time:140460
hit ratio:0.140289,time:141131
hit ratio:0.124242,time:141731
hit ratio:0.131643,time:166731
hit ratio:0.124282,time:166909
hit ratio:0.116166,time:167059
hit ratio:0.113563,time:167176
hit ratio:0.106122,time:167361
hit ratio:0.101343,time:167568
hit ratio:0.100495,time:174906
hit ratio:0.102403,time:193574
hit ratio:0.0979718,time:193768
hit ratio:0.0936483,time:193930
hit ratio:0.104999,time:223217
hit ratio:0.100119,time:223803
hit ratio:0.0959548,time:224412
hit ratio:0.0943709,time:225233
hit ratio:0.107754,time:274527
hit ratio:0.119564,time:307533
hit ratio:0.115625,time:308280
hit ratio:0.111542,time:308859
hit ratio:0.109022,time:309423
hit ratio:0.121792,time:379945
hit ratio:0.121806,time:391216
hit ratio:0.118551,time:392455
hit ratio:0.115009,time:393490
hit ratio:0.112393,time:394533
hit ratio:0.124145,time:480366
EOF
hit ratio:0.135093,time:577477
num_requests:3351357,throughput:5.80345reqs/sec,
